arg-id,argument,x,y,cluster-level-1-id,cluster-level-2-id
A1_0,脱炭素の観点に立ち再エネ100%を目指すべきである。,4.499659538269043,3.7255942821502686,1_2,2_43
A1_1,原油、石炭、ウラン等は100年〜200年で枯渇すると推定されているため、早期の脱化石燃料が将来を見越したエネルギー計画である。,3.3868911266326904,2.7662763595581055,1_2,2_42
A1_2,巨大地震が必ず起こるため、原発の利活用はするべきではない。,9.543534278869629,6.794830322265625,1_6,2_50
A1_3,第7次エネルギー基本計画（案）は旧来の産業を温存するための計画であり、再エネ50%は化石燃料を基礎とする発電方法を守るための後ろ向きな計画である。,6.831056118011475,2.1835460662841797,1_7,2_11
A1_4,再エネ100%炭素ゼロを目指すべきだ。,4.863569259643555,3.9118611812591553,1_1,2_51
A2_0,既存の技術に囚われない新しい革新技術に目を向けるべき,5.598519802093506,5.828556537628174,1_4,2_0
A2_1,脱炭素自然エネルギーというお題目を捨てるべき,3.9029126167297363,3.5582592487335205,1_2,2_43
A3_0,イギリスのように高い削減目標を掲げ、政府が達成のための政策を打ち立てるべき,5.374056339263916,2.2695693969726562,1_1,2_12
A3_1,自国で賄えない限り、化石燃料の利用はゼロにすべき,3.8812613487243652,4.113711833953857,1_2,2_17
A3_2,全て再生可能エネルギーにし、火力発電をゼロにするべき,4.2187089920043945,5.821639537811279,1_4,2_32
A3_3,電気自動車以外は廃止し、化石燃料を使う暖房器具も廃止すべき,3.3941943645477295,2.980952739715576,1_2,2_3
A3_4,国民の声を聞いてほしい,8.89165210723877,2.9514153003692627,1_7,2_45
A4_0,原子力発電は安全を確保して推進すべきではない。,7.995330333709717,6.9920549392700195,1_5,2_52
A4_1,日本は地震の被害を避けられないため、原子力発電を削除すべきである。,9.265137672424316,7.063814163208008,1_6,2_50
A4_2,福島事故を防げなかった過去を繰り返すべきではない。,10.021528244018555,7.580496311187744,1_6,2_1
A4_3,南海トラフ地震を無視しているのか。,9.60415267944336,6.5792083740234375,1_6,2_50
