comment-id,original-comment,arg_id,argument,category_id,category,source,url,attribute_original_count,attribute_comment-id,attribute_duplicate_group_id
1,"・脱炭素の観点に立ち再エネ100%を目指すべきである。
・原油、石炭、ウラン等はその埋蔵量は100年〜200年で枯渇すると推定されている。早期の脱化石燃料こそが将来を見越したエネルギー計画である。
・巨大地震は必ず起こる。原発の利活用はするべきではない。
・第7次エネルギー基本計画（案）は、既存の旧来の産業（未来は退場するべき産業）を温存するための計画に思える。再エネ50%はつまり残りの50%は化石燃料を基礎とする発電方法であり、それらを守るための計画でありあまりにも後ろ向きである。
・再エネ100%炭素ゼロを目指すべきだ。",A1_0,脱炭素の観点に立ち再エネ100%を目指すべきである。,1_2,持続可能なエネルギー政策への転換と化石燃料依存の解消,dhtool2025/full-complete-compressed,,1,1,group-1
1,"・脱炭素の観点に立ち再エネ100%を目指すべきである。
・原油、石炭、ウラン等はその埋蔵量は100年〜200年で枯渇すると推定されている。早期の脱化石燃料こそが将来を見越したエネルギー計画である。
・巨大地震は必ず起こる。原発の利活用はするべきではない。
・第7次エネルギー基本計画（案）は、既存の旧来の産業（未来は退場するべき産業）を温存するための計画に思える。再エネ50%はつまり残りの50%は化石燃料を基礎とする発電方法であり、それらを守るための計画でありあまりにも後ろ向きである。
・再エネ100%炭素ゼロを目指すべきだ。",A1_1,原油、石炭、ウラン等は100年〜200年で枯渇すると推定されているため、早期の脱化石燃料が将来を見越したエネルギー計画である。,1_2,持続可能なエネルギー政策への転換と化石燃料依存の解消,dhtool2025/full-complete-compressed,,1,1,group-1
1,"・脱炭素の観点に立ち再エネ100%を目指すべきである。
・原油、石炭、ウラン等はその埋蔵量は100年〜200年で枯渇すると推定されている。早期の脱化石燃料こそが将来を見越したエネルギー計画である。
・巨大地震は必ず起こる。原発の利活用はするべきではない。
・第7次エネルギー基本計画（案）は、既存の旧来の産業（未来は退場するべき産業）を温存するための計画に思える。再エネ50%はつまり残りの50%は化石燃料を基礎とする発電方法であり、それらを守るための計画でありあまりにも後ろ向きである。
・再エネ100%炭素ゼロを目指すべきだ。",A1_2,巨大地震が必ず起こるため、原発の利活用はするべきではない。,1_6,原発リスクの再評価と持続可能なエネルギー政策の必要性,dhtool2025/full-complete-compressed,,1,1,group-1
1,"・脱炭素の観点に立ち再エネ100%を目指すべきである。
・原油、石炭、ウラン等はその埋蔵量は100年〜200年で枯渇すると推定されている。早期の脱化石燃料こそが将来を見越したエネルギー計画である。
・巨大地震は必ず起こる。原発の利活用はするべきではない。
・第7次エネルギー基本計画（案）は、既存の旧来の産業（未来は退場するべき産業）を温存するための計画に思える。再エネ50%はつまり残りの50%は化石燃料を基礎とする発電方法であり、それらを守るための計画でありあまりにも後ろ向きである。
・再エネ100%炭素ゼロを目指すべきだ。",A1_3,第7次エネルギー基本計画（案）は旧来の産業を温存するための計画であり、再エネ50%は化石燃料を基礎とする発電方法を守るための後ろ向きな計画である。,1_7,国民参加による透明性のあるエネルギー政策の実現,dhtool2025/full-complete-compressed,,1,1,group-1
1,"・脱炭素の観点に立ち再エネ100%を目指すべきである。
・原油、石炭、ウラン等はその埋蔵量は100年〜200年で枯渇すると推定されている。早期の脱化石燃料こそが将来を見越したエネルギー計画である。
・巨大地震は必ず起こる。原発の利活用はするべきではない。
・第7次エネルギー基本計画（案）は、既存の旧来の産業（未来は退場するべき産業）を温存するための計画に思える。再エネ50%はつまり残りの50%は化石燃料を基礎とする発電方法であり、それらを守るための計画でありあまりにも後ろ向きである。
・再エネ100%炭素ゼロを目指すべきだ。",A1_4,再エネ100%炭素ゼロを目指すべきだ。,1_1,持続可能な社会実現に向けた気候変動対策の強化,dhtool2025/full-complete-compressed,,1,1,group-1
2,"既存の技術に囚われない新しい革新技術に目を向けつつ
脱炭素自然エネルギーという出来もしないお題目を捨てることです",A2_0,既存の技術に囚われない新しい革新技術に目を向けるべき,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,2,group-2
2,"既存の技術に囚われない新しい革新技術に目を向けつつ
脱炭素自然エネルギーという出来もしないお題目を捨てることです",A2_1,脱炭素自然エネルギーというお題目を捨てるべき,1_2,持続可能なエネルギー政策への転換と化石燃料依存の解消,dhtool2025/full-complete-compressed,,1,2,group-2
3,"イギリスのように、先進国の中でも極めて高い削減目標を掲げ、それを国全体で一刻も早く達成できるように、政府がしっかりと達成を成し遂げるための政策を打ち立ててほしい。
自国で賄えない限りある資源で、燃やすと有毒なガスしか出さないような化石燃料の利用はゼロにしてほしい。日本の発展は、地球があって初めて叶うことであり、目先の利益を守るために地球がさらなる気候変動に見舞われれば、発展しようにもできないのは、子供でも分かるくらいだと思います。
全て再エネにする。火力発電ゼロにする。電気自動車以外は廃止する。化石燃料を使う暖房器具は廃止する。お願いだからそうしてください。どうか、国民の声を聞いてください。",A3_0,イギリスのように高い削減目標を掲げ、政府が達成のための政策を打ち立てるべき,1_1,持続可能な社会実現に向けた気候変動対策の強化,dhtool2025/full-complete-compressed,,1,3,group-3
3,"イギリスのように、先進国の中でも極めて高い削減目標を掲げ、それを国全体で一刻も早く達成できるように、政府がしっかりと達成を成し遂げるための政策を打ち立ててほしい。
自国で賄えない限りある資源で、燃やすと有毒なガスしか出さないような化石燃料の利用はゼロにしてほしい。日本の発展は、地球があって初めて叶うことであり、目先の利益を守るために地球がさらなる気候変動に見舞われれば、発展しようにもできないのは、子供でも分かるくらいだと思います。
全て再エネにする。火力発電ゼロにする。電気自動車以外は廃止する。化石燃料を使う暖房器具は廃止する。お願いだからそうしてください。どうか、国民の声を聞いてください。",A3_1,自国で賄えない限り、化石燃料の利用はゼロにすべき,1_2,持続可能なエネルギー政策への転換と化石燃料依存の解消,dhtool2025/full-complete-compressed,,1,3,group-3
3,"イギリスのように、先進国の中でも極めて高い削減目標を掲げ、それを国全体で一刻も早く達成できるように、政府がしっかりと達成を成し遂げるための政策を打ち立ててほしい。
自国で賄えない限りある資源で、燃やすと有毒なガスしか出さないような化石燃料の利用はゼロにしてほしい。日本の発展は、地球があって初めて叶うことであり、目先の利益を守るために地球がさらなる気候変動に見舞われれば、発展しようにもできないのは、子供でも分かるくらいだと思います。
全て再エネにする。火力発電ゼロにする。電気自動車以外は廃止する。化石燃料を使う暖房器具は廃止する。お願いだからそうしてください。どうか、国民の声を聞いてください。",A3_2,全て再生可能エネルギーにし、火力発電をゼロにするべき,1_4,持続可能なエネルギーシステムへの転換と原発依存の見直し,dhtool2025/full-complete-compressed,,1,3,group-3
